unix,date,symbol,open,high,low,close,Volume BTC,Volume USDT,tradecount,RSI_14,MA,MACD_14_26_9,MACDh_14_26_9,MACDs_14_26_9
1586131200000.0,2020-04-06 00:00:00,BTC/USDT,6772.78,7355.14,6765.0,7329.9,118052.000832,837357664.6519214,956586.0,57.534722438302126,6612.306428571428,-100.57012809657954,153.04732507615978,-253.61745317273932
1586217600000.0,2020-04-07 00:00:00,BTC/USDT,7329.9,7459.69,7077.0,7197.32,103585.168918,757201786.6976631,924436.0,55.4816068365966,6644.635,-61.903837762741205,153.3708923279985,-215.2747300907397
1586304000000.0,2020-04-08 00:00:00,BTC/USDT,7197.32,7420.0,7150.0,7361.28,76059.145838,555122600.275026,750516.0,57.50138084281413,6693.481428571429,-20.547789097188797,155.78155279484074,-176.32934189202953
1586390400000.0,2020-04-09 00:00:00,BTC/USDT,7360.26,7371.92,7108.08,7283.54,61094.872417,444741085.9037586,686207.0,56.19945363944761,6732.494285714286,8.23528984773202,147.65170539180923,-139.4164155440772
1586476800000.0,2020-04-10 00:00:00,BTC/USDT,7283.54,7295.75,6739.98,6858.92,104674.623375,727281590.7719399,949050.0,49.59432870299368,6768.195,6.088819471703573,116.40418801262463,-110.31536854092106
1586563200000.0,2020-04-11 00:00:00,BTC/USDT,6858.92,6944.3,6760.0,6876.83,45470.293206,311699573.516674,484618.0,49.861996302767764,6813.922142857142,5.367540088750502,92.54632690373725,-87.17878681498675
1586649600000.0,2020-04-12 00:00:00,BTC/USDT,6876.84,7177.0,6780.0,6903.79,73868.666501,516235035.1865113,648323.0,50.2899234307751,6886.948571428571,6.333352533652942,74.80971147891175,-68.47635894525881
1586736000000.0,2020-04-13 00:00:00,BTC/USDT,6903.79,6903.79,6575.0,6837.91,96415.476573,649390681.2485026,804179.0,49.18519491646491,6918.629285714285,3.1418355816977055,57.294555621565216,-54.15272003986751
1586822400000.0,2020-04-14 00:00:00,BTC/USDT,6838.04,6978.0,6754.28,6868.7,69068.623285,474794776.19211113,608665.0,49.74088191387761,6951.362142857143,2.374303849075659,45.22161911115454,-42.84731526207888
1586908800000.0,2020-04-15 00:00:00,BTC/USDT,6868.57,6933.0,6605.0,6621.24,61571.384994,416947490.61569566,581374.0,45.439992962462654,6949.813571428572,-12.929362887956813,23.93436189929765,-36.86372478725446
1586995200000.0,2020-04-16 00:00:00,BTC/USDT,6621.25,7190.0,6468.27,7101.94,125009.857539,865277543.3946935,971163.0,53.797292549346416,6971.802857142857,3.4035402281324423,32.213812012309525,-28.810271784177083
1587081600000.0,2020-04-17 00:00:00,BTC/USDT,7101.99,7148.12,6972.98,7027.55,54126.509763,382334236.1694789,537554.0,52.45814147803316,6992.763571428572,12.068279368420008,32.70284092207768,-20.63456155365767
1587168000000.0,2020-04-18 00:00:00,BTC/USDT,7026.78,7293.08,7014.4,7248.6,49488.542819,354845083.7761889,494670.0,55.96581945624734,7020.735714285714,32.00153147488891,42.10887442283726,-10.107342947948354
1587254400000.0,2020-04-19 00:00:00,BTC/USDT,7248.6,7266.15,7055.6,7120.74,45664.86393,326485586.9317384,483574.0,53.506694769950485,7045.589999999999,40.10439766921536,40.16939249373097,-0.06499482451561178
1587340800000.0,2020-04-20 00:00:00,BTC/USDT,7121.4,7220.0,6751.0,6826.83,90149.49137,629612368.7476892,785174.0,48.25756365712767,7009.6564285714285,28.793715996324863,23.08696865667238,5.706747339652484
1587427200000.0,2020-04-21 00:00:00,BTC/USDT,6828.98,6940.0,6762.0,6841.37,60109.710808,411800606.08159715,555797.0,48.52659132845276,6984.231428571428,20.2944902983636,11.670194366968891,8.624295931394707
1587513600000.0,2020-04-22 00:00:00,BTC/USDT,6841.36,7156.38,6818.0,7125.14,61486.377334,431271646.1755991,508659.0,53.59742027718163,6967.364285714285,30.089684587176635,17.172310924625542,12.917373662551093
1587600000000.0,2020-04-23 00:00:00,BTC/USDT,7125.12,7738.0,7020.0,7482.39,102773.569561,756320213.5858521,881099.0,59.06484610525249,6981.567857142857,58.82321398351087,36.72467225676782,22.09854172674305
1587686400000.0,2020-04-24 00:00:00,BTC/USDT,7483.96,7615.96,7388.0,7505.0,60182.119939,452118137.7940016,601093.0,59.39096536527712,7027.716428571429,82.63986632394153,48.433059677758784,34.20680664618275
1587772800000.0,2020-04-25 00:00:00,BTC/USDT,7505.0,7705.0,7431.07,7538.67,43874.427726,331292050.77197313,521943.0,59.90325594110389,7074.990714285715,102.93105779392772,54.97940091819598,47.95165687573174
1587859200000.0,2020-04-26 00:00:00,BTC/USDT,7539.03,7700.0,7480.0,7693.1,50522.616209,384202783.2747096,554480.0,62.255185115391605,7131.37,127.34891704471738,63.51780813518851,63.83110890952887
1587945600000.0,2020-04-27 00:00:00,BTC/USDT,7693.1,7792.02,7606.0,7774.62,65441.339576,504025811.6512536,637800.0,63.473176509659574,7198.277857142858,150.51654318873534,69.34834742336517,81.16819576537017
1588032000000.0,2020-04-28 00:00:00,BTC/USDT,7773.51,7780.0,7659.12,7738.98,46302.752638,357391780.9307627,499414.0,62.52325718563487,7260.440714285714,165.50926497651562,67.47285536891636,98.03640960759927
1588118400000.0,2020-04-29 00:00:00,BTC/USDT,7738.58,8952.89,7710.05,8778.57,183546.887514,1536390177.0449488,1433128.0,74.50763888323156,7414.535714285715,237.51113539904054,111.579780633153,125.93135476588753
1588204800000.0,2020-04-30 00:00:00,BTC/USDT,8778.58,9460.0,8401.0,8620.0,206277.214124,1839283907.4625196,1661554.0,70.78916935526972,7522.9685714285715,283.5478844008303,126.0932237079542,157.4546606928761
1588291200000.0,2020-05-01 00:00:00,BTC/USDT,8620.0,9059.18,8613.56,8826.96,91468.815059,805640126.6308703,865960.0,72.70392641333108,7651.497857142857,329.95477795139414,138.00009380681442,191.95468414457972
1588377600000.0,2020-05-02 00:00:00,BTC/USDT,8825.67,9010.0,8753.0,8972.05,59002.08755,523838859.5442492,637884.0,73.99107285028109,7774.601428571427,372.53399101837476,144.46344549903603,228.07054551933874
1588464000000.0,2020-05-03 00:00:00,BTC/USDT,8972.58,9200.0,8712.0,8894.16,90126.065643,808427095.9321591,877460.0,72.02746475598448,7901.274285714286,398.4074435682405,136.26951843912144,262.1379251291191
1588550400000.0,2020-05-04 00:00:00,BTC/USDT,8894.15,8950.0,8522.0,8871.96,84418.512331,738343818.6939254,848802.0,71.4454871882116,8047.3550000000005,413.91964678906425,121.42537732795614,292.4942694611081
